AT	Arabidopsis_thaliana
AagrBONN	Anthoceros_angustus
AmTr	Amborella_trichopoda
Azfi	Azolla_filiculoides
Cericv	Ceratopteris_richardii
EFJ	Selaginella_moellendorffii
GBG	Chara_braunii
Klenit	Klebsormidium_flaccidum
ME	Mesotaenium_endlicherianum
Os	Oryza_sativa
PILA	Pinus_lambertiana
PTQ	Marchantia_polymorpha
Potri	Populus_trichocarpa
Pp	Physcomitrella_patens
SEGI	Sequoiadendron_giganteum
SM	Spirogloea_muscicola
Sacu	Salvinia_cucullata
TnS	Gnetum_montanum
VIT	Vitis_vinifera
Vocar	Volvox_carteri
Zm	Zea_may
