#FamilyID	pvalue	Significant at 0.05
OG1G02740	0.237	n
OG1G03750	0.883	n
OG1G04050	0.224	n
OG1G04400	0.559	n
OG1G05490	0.083	n
OG1G08880	0	y
OG1G09320	0.023	y
OG1G17730	0.692	n
OG1G18450	0.733	n
OG1G18800	0.568	n
OG1G19100	0.001	y
OG1G20693	0	y
OG1G20696	0	y
OG1G21700	0.627	n
OG1G26470	0.946	n
OG1G48310	0.95	n
OG1G50410	0.389	n
OG1G54690	0	y
OG1G57820	0.645	n
OG1G63490	0.037	y
OG1G65440	0.356	n
OG1G65470	0.32	n
OG1G66080	0.922	n
OG1G66170	0.002	y
OG1G67370	0.781	n
OG1G69770	0.027	y
OG1G73030	0.692	n
OG1G73910	0.733	n
OG1G74560	0.568	n
OG1G77300	0.058	n
OG1G77540	0.756	n
OG1G79350	0.052	n
OG1G79730	0.819	n
OG2G02090	0.97	n
OG2G06510	0.863	n
OG2G07690	0.943	n
OG2G13370	0.782	n
OG2G16390	0.083	n
OG2G16780	0.057	n
OG2G17560	0	y
OG2G18760	0.989	n
OG2G19480	0.011	y
OG2G19520	0.683	n
OG2G21450	0.083	n
OG2G22720	0.02	y
OG2G25170	0.862	n
OG2G27350	0.55	n
OG2G28290	0.902	n
OG2G32940	0.486	n
OG2G33610	0.627	n
OG2G43410	0.137	n
OG2G44980	0.706	n
OG2G46020	0.796	n
OG3G01460	0.192	n
OG3G01890	0.478	n
OG3G03460	0.446	n
OG3G04380	0.224	n
OG3G06010	0.902	n
OG3G06400	0.776	n
OG3G07220	0.599	n
OG3G07610	0.005	y
OG3G10390	0.837	n
OG3G11450	0.428	n
OG3G12810	0.219	n
OG3G13782	0.011	y
OG3G20010	0.389	n
OG3G23780	0.324	n
OG3G24340	0.083	n
OG3G28730	0.884	n
OG3G33520	0.886	n
OG3G42670	0.083	n
OG3G43240	0.681	n
OG3G44530	0.928	n
OG3G48710	0.09	n
OG3G49600	0.641	n
OG3G51880	0	y
OG3G55580	0.662	n
OG4G02060	0.924	n
OG4G05420	0.641	n
OG4G10180	0.81	n
OG4G10670	0.36	n
OG4G10710	0.36	n
OG4G16280	0.24	n
OG4G22140	0.117	n
OG4G26630	0.09	n
OG4G29730	0.683	n
OG4G29830	0.851	n
OG4G31900	0.862	n
OG4G32620	0.613	n
OG4G35050	0.057	n
OG4G35570	0	y
OG4G36290	0.001	y
OG4G37280	0.237	n
OG4G37860	0.02	y
OG4G38495	0.938	n
OG5G04670	0.613	n
OG5G06110	0.428	n
OG5G09790	0.77	n
OG5G12910	0	y
OG5G14170	0.478	n
OG5G17690	0.879	n
OG5G18620	0.776	n
OG5G19310	0.902	n
OG5G20420	0.083	n
OG5G24330	0.77	n
OG5G43990	0.224	n
OG5G44180	0.07	n
OG5G44800	0.852	n
OG5G45600	0.928	n
OG5G55660	0.09	n
OG5G56950	0.011	y
OG5G58230	0.057	n
OG5G61070	0.849	n
OG5G63550	0.09	n
OG5G63860	0.849	n
OG5G63950	0.216	n
OG5G64630	0.958	n
OG5G66750	0.855	n
OG5G67100	0.885	n
