FamilyID	Populus_trichocarpa<0>	Arabidopsis_thaliana<1>	<2>	Vitis_vinifera<3>	Oryza_sativa<4>	Zea_may<5>	Sequoiadendron_giganteum<6>	Pinus_lambertiana<7>	<8>	<9>	Salvinia_cucullata<10>	Azolla_filiculoides<11>	<12>	Gnetum_montanum<13>	<14>	Amborella_trichopoda<15>	<16>	Ceratopteris_richardii<17>	<18>	<19>	Klebsormidium_flaccidum<20>	Volvox_carteri<21>	<22>	<23>	Spirogloea_muscicola<24>	Mesotaenium_endlicherianum<25>	<26>	Chara_braunii<27>	<28>	Selaginella_moellendorffii<29>	<30>	<31>	<32>	<33>	<34>	Anthoceros_angustus<35>	Physcomitrella_patens<36>	<37>	Marchantia_polymorpha<38>	<39>
OG1G03780	2	3	2	1	1	2	1	2	2	2	2	4	2	1	2	1	3	3	2	2	2	1	3	2	3	2	2	1	2	1	2	2	2	2	2	1	4	2	1	2
OG1G20570	3	3	2	1	2	2	4	2	2	2	1	1	2	1	2	1	1	1	2	2	1	0	1	2	3	4	2	2	2	0	2	2	2	2	2	0	3	2	1	2
OG1G34355	1	3	1	1	1	1	3	1	1	1	2	2	1	1	1	1	2	2	1	1	0	0	2	1	0	0	0	0	1	3	0	0	1	0	1	1	4	1	1	1
OG1G37010	2	3	2	1	1	1	0	2	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1
OG1G49910	4	4	3	2	3	2	3	3	3	3	1	1	3	3	3	2	1	1	3	3	1	1	1	3	0	1	1	2	1	1	1	1	1	1	1	1	4	1	1	1
OG1G73790	2	3	2	2	3	1	0	0	2	2	1	1	1	10	2	0	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	2	1	1	1
OG1G80245	2	3	2	2	1	1	1	0	2	1	1	1	1	2	1	1	1	1	1	1	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	1	1	1	1	1
OG1G80260	3	3	2	1	2	2	4	2	2	2	1	1	2	1	2	1	1	1	2	2	1	0	1	2	3	4	2	2	2	0	2	2	2	2	2	0	3	2	1	2
OG2G03680	6	7	6	6	4	6	5	0	6	5	1	1	3	3	5	3	1	2	3	4	2	4	2	3	0	1	2	1	2	1	2	2	2	2	2	0	8	2	1	2
OG2G24970	1	2	1	1	1	1	0	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	3	0	1	0	1	0	1	1	1	1	1	1	2	1	1	1
OG2G25880	3	4	3	2	2	3	4	2	3	3	2	3	3	6	3	2	2	2	3	3	1	3	2	3	4	1	2	1	2	1	2	2	2	2	2	1	2	2	1	2
OG2G45490	3	4	3	2	2	3	4	2	3	3	2	3	3	6	3	2	2	2	3	3	1	3	2	3	4	1	2	1	2	1	2	2	2	2	2	1	2	2	1	2
OG3G10220	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
OG3G18730	1	2	1	1	2	1	8	2	1	1	2	1	2	1	1	1	1	1	1	1	1	3	1	1	3	3	2	3	1	1	2	2	1	2	1	1	1	1	1	1
OG3G19590	4	4	3	2	3	2	3	3	3	3	1	1	3	3	3	2	1	1	3	3	1	1	1	3	0	1	1	2	1	1	1	1	1	1	1	1	4	1	1	1
OG3G25980	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG3G43610	1	2	1	1	2	2	2	3	1	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	3	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG3G44050	4	4	3	3	3	4	2	5	3	3	6	5	3	3	3	3	5	6	3	3	3	2	5	3	0	1	3	6	3	3	2	3	3	3	3	2	15	3	2	3
OG3G60660	1	2	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	3	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1
OG3G60840	13	10	9	6	12	29	3	4	8	15	8	9	4	4	8	7	8	11	4	7	1	1	8	5	2	2	2	1	5	9	2	2	5	2	4	1	6	4	1	4
OG3G63130	3	4	3	5	2	5	9	3	3	3	2	2	3	1	3	1	2	1	3	3	1	1	2	3	0	1	1	0	2	2	1	1	2	1	2	3	2	2	1	2
OG4G00695	2	3	2	2	1	1	1	0	2	1	1	1	1	2	1	1	1	1	1	1	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	1	1	1	1	1
OG4G02725	1	2	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	3	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
OG4G05190	4	5	3	2	2	2	2	7	2	2	3	5	2	3	2	1	3	3	2	2	1	2	3	2	3	1	2	2	2	3	2	2	2	2	2	2	2	2	1	2
OG4G09550	2	3	2	2	3	1	0	0	2	2	1	1	1	10	2	0	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	2	1	1	1
OG4G21270	4	5	3	2	2	2	2	7	2	2	3	5	2	3	2	1	3	3	2	2	1	2	3	2	3	1	2	2	2	3	2	2	2	2	2	2	2	2	1	2
OG4G22970	1	5	2	4	1	1	8	4	2	1	1	2	3	1	2	2	1	1	2	2	1	1	1	2	3	2	2	3	1	1	2	2	1	2	1	1	1	1	1	1
OG4G32830	3	4	3	2	2	3	4	2	3	3	2	3	3	6	3	2	2	2	3	3	1	3	2	3	4	1	2	1	2	1	2	2	2	2	2	1	2	2	1	2
OG5G06680	2	3	2	1	1	1	0	2	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1
OG5G17410	1	2	1	1	1	1	2	2	1	1	2	1	2	2	1	1	1	1	2	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1
OG5G18700	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
OG5G19400	4	3	3	3	1	2	4	6	3	2	2	3	3	2	3	2	2	2	3	3	1	1	2	3	3	1	2	1	2	1	2	2	2	2	2	1	3	2	1	2
OG5G49880	2	2	2	1	1	1	5	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	3	2	2	2	1	2	2	2	1	2	1	1	1	1	1	1
OG5G55230	13	10	9	6	12	29	3	4	8	15	8	9	4	4	8	7	8	11	4	7	1	1	8	5	2	2	2	1	5	9	2	2	5	2	4	1	6	4	1	4
OG5G57880	2	2	2	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	1	1	2	1
