FamilyID	Populus_trichocarpa<0>	Arabidopsis_thaliana<1>	<2>	Vitis_vinifera<3>	Oryza_sativa<4>	Zea_may<5>	Sequoiadendron_giganteum<6>	Pinus_lambertiana<7>	<8>	<9>	Salvinia_cucullata<10>	Azolla_filiculoides<11>	<12>	Gnetum_montanum<13>	<14>	Amborella_trichopoda<15>	<16>	Ceratopteris_richardii<17>	<18>	<19>	Klebsormidium_flaccidum<20>	Volvox_carteri<21>	<22>	<23>	Spirogloea_muscicola<24>	Mesotaenium_endlicherianum<25>	<26>	Chara_braunii<27>	<28>	Selaginella_moellendorffii<29>	<30>	<31>	<32>	<33>	<34>	Anthoceros_angustus<35>	Physcomitrella_patens<36>	<37>	Marchantia_polymorpha<38>	<39>
OG1G02740	+1	+1	+0	+0	+1	-1	-2	-1	+0	+0	-1	+1	+0	+2	+0	-1	+0	+0	+0	+0	-1	-1	+0	+0	+1	-1	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	-1	+0
OG1G03750	+0	+1	+0	+0	+0	+0	+1	+2	+0	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+2	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
OG1G04050	+1	+1	+0	-1	-2	+1	-1	+0	+0	+0	+0	+1	+0	+0	+0	+2	+0	+0	+0	+0	+2	-1	+0	+1	-1	-1	+0	+0	+0	-1	+0	+0	+0	-1	+0	-1	+0	+0	+0	+0
OG1G04400	+1	+0	+1	+0	+0	+1	+1	+0	+0	+1	+1	+0	+0	+0	+0	+0	+0	+3	+0	+0	-1	-1	+1	+0	+1	-1	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	-1	+0
OG1G05490	+2	+2	+0	+0	+2	-2	-2	+2	+0	+1	+0	+0	+0	+1	+0	-1	+0	+1	+0	+1	+1	-2	-1	+1	-1	-1	+0	+0	+0	-2	-1	+0	+0	-2	+0	+4	-1	+0	+1	+0
OG1G08880	+1	+1	+0	+0	-2	+3	+3	+2	+0	+1	-2	+0	+1	-2	+0	-2	-2	+18	+0	+0	-3	+8	+3	+1	+2	-2	+0	-2	+1	-2	+0	+0	+0	-2	+0	-2	+2	+0	-2	+0
OG1G09320	+1	+0	+0	-1	-1	+0	+1	+3	+0	-2	+0	+0	+0	+1	-1	+2	-1	+0	+2	+0	+0	-1	-1	+3	+0	+0	+0	-1	+0	-1	+0	+0	+0	-1	+0	-1	+0	+0	+0	+0
OG1G17730	+1	+1	+0	-1	+0	+0	+0	-1	+0	-1	+2	-1	+0	+0	+0	+0	+0	+1	+0	+0	-1	-1	+0	+0	+1	-1	+0	-1	+0	+0	+0	+0	+0	+0	+0	-1	+2	+0	+0	+0
OG1G18450	+0	+1	+0	+0	+0	+0	+0	+1	+0	-1	-1	+1	+0	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0	+0	+2	+0	+0	+2	+0	+0	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0
OG1G18800	+1	+0	+1	+0	+0	+0	+1	+3	+0	+0	-1	+0	+0	+0	+0	+0	+0	+1	+0	+0	-1	-1	+0	+0	+1	-1	+0	-1	+0	-1	+0	+0	+0	+0	+0	-1	+0	+0	-1	+0
