#FamilyID	Likelihood of Family
OG1G02740	-40.5266
OG1G03750	-26.4727
OG1G04050	-40.8017
OG1G04400	-37.7237
OG1G05490	-51.9628
OG1G08880	-82.2866
OG1G09320	-47.8203
OG1G17730	-37.2605
OG1G18450	-33.237
OG1G18800	-35.6109
OG1G19100	-60.9857
OG1G20693	-65.5354
OG1G20696	-65.5354
OG1G21700	-42.8148
OG1G26470	-23.6548
OG1G48310	-24.0391
OG1G50410	-39.7363
OG1G54690	-82.2866
OG1G57820	-37.1952
OG1G63490	-51.7622
OG1G65440	-38.457
OG1G65470	-33.7598
OG1G66080	-33.653
OG1G66170	-56.9728
OG1G67370	-27.3943
OG1G69770	-47.7309
OG1G73030	-37.2605
OG1G73910	-33.237
OG1G74560	-35.6109
OG1G77300	-56.9604
OG1G77540	-27.4015
OG1G79350	-44.8756
OG1G79730	-30.9407
OG2G02090	-28.7834
OG2G06510	-31.6809
OG2G07690	-22.4182
OG2G13370	-30.1678
OG2G16390	-51.9628
OG2G16780	-44.1678
OG2G17560	-65.5354
OG2G18760	-25.9093
OG2G19480	-50.904
OG2G19520	-29.7525
OG2G21450	-51.9628
OG2G22720	-48.8733
OG2G25170	-36.2872
OG2G27350	-31.6317
OG2G28290	-34.9089
OG2G32940	-41.4499
OG2G33610	-42.8148
OG2G43410	-42.0061
OG2G44980	-27.7205
OG2G46020	-31.6603
OG3G01460	-42.4327
OG3G01890	-37.2417
OG3G03460	-35.843
OG3G04380	-40.8017
OG3G06010	-34.9089
OG3G06400	-39.4049
OG3G07220	-37.1858
OG3G07610	-56.8902
OG3G10390	-32.5637
OG3G11450	-37.9266
OG3G12810	-38.9883
OG3G13782	-50.904
OG3G20010	-39.7363
OG3G23780	-46.525
OG3G24340	-51.9628
OG3G28730	-30.3104
OG3G33520	-25.7388
OG3G42670	-51.9628
OG3G43240	-32.0495
OG3G44530	-28.2747
OG3G48710	-41.6099
OG3G49600	-30.0605
OG3G51880	-65.5354
OG3G55580	-35.8322
OG4G02060	-24.5597
OG4G05420	-33.3057
OG4G10180	-32.2008
OG4G10670	-37.2204
OG4G10710	-37.2204
OG4G16280	-45.1772
OG4G22140	-50.5446
OG4G26630	-41.6099
OG4G29730	-29.7525
OG4G29830	-31.087
OG4G31900	-36.2872
OG4G32620	-35.1041
OG4G35050	-44.1678
OG4G35570	-65.5354
OG4G36290	-60.9857
OG4G37280	-40.5266
OG4G37860	-48.8733
OG4G38495	-29.1007
OG5G04670	-35.1041
OG5G06110	-37.9266
OG5G09790	-34.2972
OG5G12910	-129.381
OG5G14170	-37.2417
OG5G17690	-32.7738
OG5G18620	-39.4049
OG5G19310	-34.9089
OG5G20420	-51.9628
OG5G24330	-34.2972
OG5G43990	-40.8017
OG5G44180	-44.1718
OG5G44800	-29.2624
OG5G45600	-30.2193
OG5G55660	-41.6099
OG5G56950	-50.904
OG5G58230	-44.1678
OG5G61070	-29.046
OG5G63550	-41.6099
OG5G63860	-30.3906
OG5G63950	-40.2256
OG5G64630	-26.4448
OG5G66750	-26.9802
OG5G67100	-30.409
