FamilyID	Populus_trichocarpa<0>	Arabidopsis_thaliana<1>	<2>	Vitis_vinifera<3>	Oryza_sativa<4>	Zea_may<5>	Sequoiadendron_giganteum<6>	Pinus_lambertiana<7>	<8>	<9>	Salvinia_cucullata<10>	Azolla_filiculoides<11>	<12>	Gnetum_montanum<13>	<14>	Amborella_trichopoda<15>	<16>	Ceratopteris_richardii<17>	<18>	<19>	Klebsormidium_flaccidum<20>	Volvox_carteri<21>	<22>	<23>	Spirogloea_muscicola<24>	Mesotaenium_endlicherianum<25>	<26>	Chara_braunii<27>	<28>	Selaginella_moellendorffii<29>	<30>	<31>	<32>	<33>	<34>	Anthoceros_angustus<35>	Physcomitrella_patens<36>	<37>	Marchantia_polymorpha<38>	<39>
OG1G03780	+0	+1	+0	-1	-1	+0	-1	+0	+0	+0	-1	+1	+0	-1	+0	-1	+0	+0	+0	+0	+0	-1	+1	+0	+1	+0	+0	-1	+0	-1	+0	+0	+0	+0	+0	-1	+2	+0	-1	+0
OG1G20570	+1	+1	+0	-1	+0	+0	+2	+0	+0	+0	+0	+0	+0	-1	+0	-1	+0	+0	+0	+0	-1	-2	-1	+0	+1	+2	+0	+0	+0	-2	+0	+0	+0	+0	+0	-2	+1	+0	-1	+0
OG1G34355	+0	+2	+0	+0	+0	+0	+2	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+2	+0	+0	+0	-1	+0	+0	+3	+0	+0	+0
OG1G37010	+0	+1	+1	+0	+0	+0	-1	+1	+0	+0	+0	+1	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+2	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+2	+0	+0	+0
OG1G49910	+1	+1	+0	-1	+0	-1	+0	+0	+0	+0	+0	+0	+0	+0	+0	-1	+0	+0	+0	+0	+0	+0	+0	+2	-1	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+3	+0	+0	+0
OG1G73790	+0	+1	+0	+0	+1	-1	-1	-1	+0	+0	+0	+0	+0	+9	+1	-1	+0	+0	+0	+0	-1	-1	+0	+0	-1	-1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0
OG1G80245	+0	+1	+0	+0	+0	+0	+0	-1	+1	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	-1	+0	+0	+0	-1	+0	+0	+0	+0	+0	+0
OG1G80260	+1	+1	+0	-1	+0	+0	+2	+0	+0	+0	+0	+0	+0	-1	+0	-1	+0	+0	+0	+0	-1	-2	-1	+0	+1	+2	+0	+0	+0	-2	+0	+0	+0	+0	+0	-2	+1	+0	-1	+0
OG2G03680	+0	+1	+0	+0	-1	+1	+2	-3	+1	+0	+0	+0	+0	+0	+1	-1	-1	+0	+0	+1	+0	+2	+0	+1	-2	-1	+0	-1	+0	-1	+0	+0	+0	+0	+0	-2	+6	+0	-1	+0
OG2G24970	+0	+1	+0	+0	+0	+0	-1	-1	+0	+0	+0	+0	+0	+0	+0	+0	-1	+0	+0	+0	+0	+0	+0	+0	+2	-1	+0	-1	+0	-1	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0
OG2G25880	+0	+1	+0	-1	-1	+0	+1	-1	+0	+0	+0	+1	+0	+3	+0	-1	+0	+0	+0	+0	-1	+1	+0	+1	+2	-1	+0	-1	+0	-1	+0	+0	+0	+0	+0	-1	+0	+0	-1	+0
OG2G45490	+0	+1	+0	-1	-1	+0	+1	-1	+0	+0	+0	+1	+0	+3	+0	-1	+0	+0	+0	+0	-1	+1	+0	+1	+2	-1	+0	-1	+0	-1	+0	+0	+0	+0	+0	-1	+0	+0	-1	+0
OG3G10220	+0	+1	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+4	+0	+0	+0	+0	-1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
OG3G18730	+0	+1	+0	+0	+1	+0	+6	+0	+0	+0	+1	+0	+1	+0	+0	+0	+0	+0	+0	+0	-1	+1	+0	+0	+1	+1	+0	+1	+0	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0
OG3G19590	+1	+1	+0	-1	+0	-1	+0	+0	+0	+0	+0	+0	+0	+0	+0	-1	+0	+0	+0	+0	+0	+0	+0	+2	-1	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+3	+0	+0	+0
OG3G25980	+0	+0	+1	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+3	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
OG3G43610	+0	+1	+0	+0	+0	+0	+1	+2	+0	+1	+1	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+2	-1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
OG3G44050	+1	+1	+0	+0	+0	+1	-1	+2	+0	+0	+1	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0	-1	+2	+0	-2	-1	+0	+3	+0	+0	-1	+0	+0	+0	+0	-1	+12	+0	-1	+0
OG3G60660	+0	+1	+0	+0	+0	+0	-1	+0	+0	+0	-1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	-1	+0	+0	+2	-1	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
OG3G60840	+4	+1	+1	-2	-3	+14	-1	+0	+0	+7	+0	+1	+0	+0	+1	+0	+0	+3	-1	+2	-1	-1	+3	+0	+0	+0	+0	-1	+0	+4	+0	+0	+1	-2	+0	-3	+2	+0	-3	+0
OG3G63130	+0	+1	+0	+2	-1	+2	+6	+0	+0	+0	+0	+0	+0	-2	+0	-2	+0	-1	+0	+0	+0	+0	+0	+1	-1	+0	+0	-1	+0	+0	+0	+0	+0	-1	+0	+1	+0	+0	-1	+0
OG4G00695	+0	+1	+0	+0	+0	+0	+0	-1	+1	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	-1	+0	+0	+0	-1	+0	+0	+0	+0	+0	+0
OG4G02725	+0	+1	+0	+0	+0	+0	-1	-1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	-1	+0	+0	+2	+0	+0	-1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
OG4G05190	+1	+2	+1	+0	+0	+0	+0	+5	+0	+0	+0	+2	+0	+1	+0	-1	+0	+0	+0	+0	-1	+0	+1	+0	+1	-1	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	-1	+0
OG4G09550	+0	+1	+0	+0	+1	-1	-1	-1	+0	+0	+0	+0	+0	+9	+1	-1	+0	+0	+0	+0	-1	-1	+0	+0	-1	-1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0
OG4G21270	+1	+2	+1	+0	+0	+0	+0	+5	+0	+0	+0	+2	+0	+1	+0	-1	+0	+0	+0	+0	-1	+0	+1	+0	+1	-1	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	-1	+0
OG4G22970	-1	+3	+0	+2	+0	+0	+5	+1	+0	-1	+0	+1	+1	-1	+0	+0	+0	+0	+0	+0	-1	-1	+0	+1	+1	+0	+0	+1	+0	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0
OG4G32830	+0	+1	+0	-1	-1	+0	+1	-1	+0	+0	+0	+1	+0	+3	+0	-1	+0	+0	+0	+0	-1	+1	+0	+1	+2	-1	+0	-1	+0	-1	+0	+0	+0	+0	+0	-1	+0	+0	-1	+0
OG5G06680	+0	+1	+1	+0	+0	+0	-1	+1	+0	+0	+0	+1	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+2	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+2	+0	+0	+0
OG5G17410	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0	+2	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+3	+0	+0	+0
OG5G18700	+0	+0	+1	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0	+2	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0
OG5G19400	+1	+0	+0	+0	-1	+0	+1	+3	+0	-1	+0	+1	+0	-1	+0	-1	+0	+0	+0	+0	-1	-1	+0	+1	+1	-1	+0	-1	+0	-1	+0	+0	+0	+0	+0	-1	+1	+0	-1	+0
OG5G49880	+0	+0	+1	+0	+0	+0	+4	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+1	+0	+0	-1	-1	+0	+0	+1	+0	+0	+0	+0	+1	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0
OG5G55230	+4	+1	+1	-2	-3	+14	-1	+0	+0	+7	+0	+1	+0	+0	+1	+0	+0	+3	-1	+2	-1	-1	+3	+0	+0	+0	+0	-1	+0	+4	+0	+0	+1	-2	+0	-3	+2	+0	-3	+0
