#FamilyID	Likelihood of Family
OG1G03780	-37.4472
OG1G20570	-38.8944
OG1G34355	-30.906
OG1G37010	-33.3282
OG1G49910	-35.51
OG1G73790	-45.539
OG1G80245	-22.3584
OG1G80260	-38.8944
OG2G03680	-55.0034
OG2G24970	-28.7257
OG2G25880	-39.4886
OG2G45490	-39.4886
OG3G10220	-25.5418
OG3G18730	-41.3043
OG3G19590	-35.51
OG3G25980	-25.3492
OG3G43610	-30.766
OG3G44050	-56.3627
OG3G60660	-25.2929
OG3G60840	-87.6857
OG3G63130	-48.9097
OG4G00695	-22.3584
OG4G02725	-22.812
OG4G05190	-43.2382
OG4G09550	-45.539
OG4G21270	-43.2382
OG4G22970	-46.7743
OG4G32830	-39.4886
OG5G06680	-33.3282
OG5G17410	-30.645
OG5G18700	-26.6847
OG5G19400	-38.5516
OG5G49880	-33.5747
OG5G55230	-87.6857
OG5G57880	-25.2204
