#FamilyID	pvalue	Significant at 0.05
OG1G03780	0.584	n
OG1G20570	0.384	n
OG1G34355	0.955	n
OG1G37010	0.755	n
OG1G49910	0.71	n
OG1G73790	0.019	y
OG1G80245	0.966	n
OG1G80260	0.384	n
OG2G03680	0.002	y
OG2G24970	0.852	n
OG2G25880	0.287	n
OG2G45490	0.287	n
OG3G10220	0.892	n
OG3G18730	0.091	n
OG3G19590	0.71	n
OG3G25980	0.903	n
OG3G43610	0.684	n
OG3G44050	0.022	y
OG3G60660	0.902	n
OG3G60840	0	y
OG3G63130	0.013	y
OG4G00695	0.966	n
OG4G02725	0.966	n
OG4G05190	0.177	n
OG4G09550	0.019	y
OG4G21270	0.177	n
OG4G22970	0.021	y
OG4G32830	0.287	n
OG5G06680	0.755	n
OG5G17410	0.961	n
OG5G18700	0.958	n
OG5G19400	0.469	n
OG5G49880	0.611	n
OG5G55230	0	y
OG5G57880	0.939	n
