Orthogroup	Amborella	Anthoceros	Arabidopsis	Azolla	Ceratopteris	Klebsordium	Marchantia	Mesotaenium_endlicherianum	Oryza	Physcomitrella	chara	gentum	populus	salvinia	selaginella	sequia	spirogloea	vitis	volvox	zea	Total
OG0000000	224	271	110	141	168	1	1	1	112	31	1	94	127	99	192	126	0	169	1	160	2029
OG0000001	206	15	142	55	99	0	21	12	140	100	1	45	183	52	41	101	6	108	3	211	1541
OG0000002	175	11	135	34	51	7	15	2	102	60	3	37	165	30	23	152	5	100	0	189	1296
OG0000003	165	42	60	19	76	1	115	1	96	57	13	62	80	16	52	152	0	69	0	103	1179
OG0000004	141	12	100	42	95	4	8	6	137	33	1	70	117	46	43	59	13	93	10	147	1177
OG0000005	1124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	1128
OG0000006	169	25	76	19	43	0	13	23	45	50	0	49	92	23	58	90	5	98	1	82	961
OG0000007	877	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	886
OG0000008	114	4	89	31	40	1	8	1	78	98	1	31	114	26	19	41	4	55	0	122	877
OG0000009	0	869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	869
OG0000010	80	6	89	29	58	2	13	5	80	46	1	54	105	22	13	48	10	44	2	115	822
OG0000011	79	9	93	26	36	1	2	0	64	67	3	31	119	26	16	47	6	57	1	117	800
OG0000012	69	25	80	30	86	4	15	5	64	65	5	29	67	24	16	25	9	33	0	139	790
OG0000013	77	54	40	26	56	4	31	0	62	24	5	14	69	7	48	93	0	70	0	64	744
OG0000014	740	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	742
OG0000015	87	28	35	14	40	1	23	0	62	46	0	40	65	11	28	60	0	41	1	82	664
OG0000016	80	17	56	19	76	1	10	0	66	30	7	21	96	16	22	38	0	36	0	59	650
OG0000017	111	25	49	6	29	1	31	0	71	14	0	21	53	8	7	101	0	48	0	51	626
OG0000018	97	11	39	17	42	1	36	0	54	41	2	13	58	14	16	44	0	60	0	61	606
OG0000019	57	29	39	13	35	9	27	0	41	42	1	10	49	7	41	80	0	75	2	46	603
OG0000020	93	6	66	15	23	0	6	0	33	42	1	47	69	14	19	35	0	83	0	48	600
OG0000021	94	3	41	14	47	0	40	3	35	45	0	31	47	10	19	87	3	37	0	42	598
OG0000022	22	114	6	179	91	0	0	0	7	0	0	0	2	136	14	0	0	3	0	2	576
OG0000023	58	32	63	14	34	1	4	12	56	38	3	44	51	8	18	43	7	30	3	46	565
OG0000024	49	33	3	0	14	30	4	1	23	8	192	1	2	8	2	86	0	96	4	0	556
OG0000025	64	17	11	18	60	7	28	2	18	37	16	28	26	17	7	96	9	41	5	23	530
OG0000026	525	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	527
OG0000027	55	1	53	20	66	2	9	1	26	69	5	17	66	21	7	17	7	18	0	64	524
OG0000028	516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	516
OG0000029	66	12	51	24	38	9	22	7	25	41	6	14	51	15	13	29	11	26	7	49	516
OG0000030	40	11	33	23	59	9	37	6	33	43	17	20	30	15	16	48	12	22	8	34	516
OG0000031	0	0	0	0	0	0	0	0	496	0	0	0	0	0	0	0	0	0	0	1	497
OG0000032	40	20	39	18	71	4	15	7	47	25	0	25	34	13	16	40	6	28	0	48	496
OG0000033	57	21	34	12	41	1	17	2	31	25	0	29	40	9	24	41	3	47	2	45	481
OG0000034	65	7	49	27	39	5	9	4	33	28	7	18	36	18	12	27	14	17	4	60	479
OG0000035	46	0	30	32	39	6	10	0	42	8	0	14	50	19	58	54	0	37	0	33	478
OG0000036	56	20	25	15	56	7	8	0	41	51	0	15	52	10	12	18	4	19	1	67	477
OG0000037	40	11	20	17	52	0	34	3	43	43	2	21	35	14	18	34	5	31	0	54	477
OG0000038	37	30	23	26	78	1	11	6	20	55	18	20	25	18	13	27	20	24	0	22	474
OG0000039	45	11	21	8	29	1	11	1	52	33	0	34	54	10	21	29	1	52	0	60	473
OG0000040	51	1	28	7	19	3	2	1	49	0	2	36	53	6	39	54	3	73	1	40	468
OG0000041	34	21	27	11	58	5	4	2	36	15	0	36	33	7	36	49	0	33	0	59	466
OG0000042	72	7	45	14	23	0	3	1	25	24	2	49	55	6	10	62	0	34	0	34	466
OG0000043	44	18	25	15	50	1	1	2	28	13	0	49	45	5	12	85	3	31	0	24	451
OG0000044	40	5	61	11	29	7	3	3	33	28	7	21	45	12	9	35	7	20	9	65	450
OG0000045	32	28	36	8	51	7	15	4	25	32	0	9	35	14	26	40	11	36	5	36	450
OG0000046	9	9	3	0	34	186	0	1	6	74	0	0	0	0	3	69	0	53	3	0	450
OG0000047	34	24	28	6	17	7	18	2	33	12	0	61	39	4	22	53	3	45	3	32	443
OG0000048	48	19	36	10	41	4	11	4	21	36	5	12	71	13	18	30	4	19	1	37	440
OG0000049	35	7	35	6	15	2	8	2	31	49	1	27	50	9	12	55	6	41	0	45	436
OG0000050	52	7	43	12	15	1	2	1	38	52	1	7	59	12	26	15	0	25	1	52	421
OG0000051	42	32	35	8	34	1	8	1	35	26	1	22	28	8	19	41	5	22	2	49	419
OG0000052	49	16	28	22	28	9	8	0	26	36	0	24	29	17	22	33	0	26	0	43	416
OG0000053	48	1	55	15	27	6	2	0	29	4	0	35	66	9	2	41	3	32	2	37	414
OG0000054	72	1	34	8	22	4	2	2	37	32	1	19	54	10	5	13	6	31	0	58	411
OG0000055	52	20	24	12	20	1	16	1	17	22	6	21	62	14	16	35	3	24	1	26	393
OG0000056	391	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	392
OG0000057	42	5	32	14	45	9	6	5	30	31	6	9	41	12	11	13	11	13	0	50	385
OG0000058	72	10	9	10	46	5	21	1	28	33	4	21	17	10	19	23	3	10	0	36	378
OG0000059	42	28	40	2	12	3	12	2	41	7	1	43	31	6	9	30	4	38	0	25	376
OG0000060	60	21	33	7	24	8	7	8	23	32	7	14	24	7	10	30	6	18	3	29	371
OG0000061	29	11	22	14	27	3	11	3	23	19	3	22	37	11	17	42	8	19	4	46	371
OG0000062	44	5	34	7	22	1	25	2	21	25	1	23	42	8	15	29	3	23	1	35	366
OG0000063	43	6	43	15	41	2	4	1	28	26	2	11	42	15	11	13	0	19	1	42	365
OG0000064	364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	364
OG0000065	37	5	31	15	24	1	3	3	23	36	2	10	50	13	10	9	6	16	6	64	364
OG0000066	34	6	7	16	60	2	14	0	17	25	8	11	31	8	15	36	7	17	7	31	352
OG0000067	51	2	35	9	31	1	4	3	19	34	2	19	37	5	4	30	5	26	0	34	351
OG0000068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	349	350
OG0000069	36	17	18	12	45	4	9	5	19	34	3	12	27	9	9	22	11	18	1	36	347
OG0000070	44	7	27	16	23	0	3	0	31	10	0	16	41	15	6	29	6	15	0	48	337
OG0000071	37	5	29	12	11	2	4	1	33	29	2	28	38	12	7	20	5	19	1	42	337
OG0000072	27	8	30	22	55	2	3	2	14	43	4	10	38	10	9	14	4	9	4	27	335
OG0000073	54	6	23	3	18	1	36	4	36	20	7	36	20	3	12	7	9	23	1	16	335
OG0000074	31	20	31	14	26	2	4	2	12	36	1	20	32	5	4	52	2	17	0	18	329
OG0000075	24	39	33	12	39	4	3	1	22	8	0	24	16	8	23	33	0	9	0	28	326
OG0000076	0	323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	323
OG0000077	32	1	33	17	37	1	1	7	31	5	1	9	42	19	2	13	3	17	0	51	322
OG0000078	30	8	35	7	19	1	8	2	16	27	6	6	30	6	12	26	8	18	2	53	320
OG0000079	32	1	30	7	42	1	1	1	21	41	2	7	37	4	4	20	0	10	1	57	319
OG0000080	48	3	31	12	20	2	2	0	23	16	2	15	35	14	7	23	3	16	3	44	319
OG0000081	22	1	15	9	69	2	0	0	12	2	3	0	2	6	0	117	0	51	0	7	318
OG0000082	20	12	5	12	23	0	28	2	28	51	0	22	14	4	6	19	5	43	0	23	317
OG0000083	44	0	17	1	1	0	19	0	43	18	0	22	35	0	11	14	0	46	0	43	314
OG0000084	16	3	38	7	16	2	8	1	32	54	4	6	35	9	2	3	3	7	0	67	313
OG0000085	45	4	32	8	21	1	2	1	34	17	0	7	46	8	5	14	0	17	0	48	310
