ortho_group,node_name,type
OG0000274,Anthoceros_angustus<35>,Contraction
OG0000274,Zea_may<5>,Expansion
OG0000274,Oryza_sativa<4>,Contraction
OG0000274,Arabidopsis_thaliana<1>,Contraction
OG0000274,Populus_trichocarpa<0>,Expansion
OG0000274,<14>,Expansion
OG0000274,<19>,Expansion
OG0000274,Sequoiadendron_giganteum<6>,Contraction
OG0000274,Ceratopteris_richardii<17>,Expansion
OG0000274,<28>,Expansion
OG0000274,<32>,Expansion
OG0000571,Amborella_trichopoda<15>,Contraction
OG0000571,Arabidopsis_thaliana<1>,Expansion
OG0000571,Pinus_lambertiana<7>,Expansion
OG0000571,Azolla_filiculoides<11>,Expansion
OG0000571,<28>,Expansion
OG0000640,Zea_may<5>,Expansion
OG0000640,<14>,Expansion
OG0000640,Physcomitrella_patens<36>,Expansion
OG0002809,Spirogloea_muscicola<24>,Expansion
OG0002809,Zea_may<5>,Expansion
OG0002809,<14>,Expansion
OG0002809,Pinus_lambertiana<7>,Expansion
OG0002809,Physcomitrella_patens<36>,Expansion
