ortho_group,node_name,type
OG0000319,Marchantia_polymorpha<38>,Contraction
OG0000319,Anthoceros_angustus<35>,Contraction
OG0000319,<33>,Contraction
OG0000319,Selaginella_moellendorffii<29>,Expansion
OG0000319,Zea_may<5>,Expansion
OG0000319,Oryza_sativa<4>,Contraction
OG0000319,<9>,Expansion
OG0000319,Populus_trichocarpa<0>,Expansion
OG0000319,<22>,Expansion
OG0000800,Physcomitrella_patens<36>,Expansion
OG0001286,Anthoceros_angustus<35>,Contraction
OG0001286,Pinus_lambertiana<7>,Contraction
OG0001286,Physcomitrella_patens<36>,Expansion
OG0001922,Amborella_trichopoda<15>,Contraction
OG0001922,Zea_may<5>,Expansion
OG0001922,Vitis_vinifera<3>,Expansion
OG0001922,Sequoiadendron_giganteum<6>,Expansion
OG0002218,<33>,Expansion
OG0002218,Vitis_vinifera<3>,Expansion
OG0002218,Sequoiadendron_giganteum<6>,Expansion
OG0002218,<12>,Expansion
OG0002218,<23>,Expansion
OG0004716,<14>,Expansion
OG0004716,Gnetum_montanum<13>,Expansion
