OG0004673	AagrBONN_228.1440.1	AmTr_v1.0_scaffold00012.71, AmTr_v1.0_scaffold00027.71	AT3G48750.1		Cericv21014231m, Cericv21128443m	GBG79694	TnS000865421t03	Klenit1_14234	PTQ42109	ME000124S00189	Os02t0123100_01	Pp3c2_18480V3.1.p, Pp3c3_15290V3.1.p	PILA_DCR/hiseq/c103163_g1_i1|m.102506, PILA_S_1kb_1/019147|m.503050, PILA_V/hiseq/c40074_g1_i1|m.13706	Potri.004G133500.6.p	Sacu_v1.1_s0010.g004623, Sacu_v1.1_s0138.g022574	EFJ_139306	SEGI_05262	SM000027S09671, SM000081S22648, SM000125S26111	VIT_15s0045g00310.t01	Vocar20015085m	Zm00001eb001260_P001, Zm00001eb403940_P002
OG0001580	AagrBONN_344.4850.1	AmTr_v1.0_scaffold00978.1	AT1G20930.1, AT1G76540.1, AT2G38620.2, AT3G54180.1	Azfi_s0066.g036081, Azfi_s0242.g059787	Cericv21025789m, Cericv21038951m, Cericv21058205m, Cericv21082577m	GBG60961	TnS000275251t01, TnS000774057t08, TnS000781647t04	Klenit1_10588	PTQ35151	ME000197S02542	Os01t0897000_01, Os08t0512600_01	Pp3c11_10380V3.1.p, Pp3c14_12680V3.1.p, Pp3c16_3910V3.1.p, Pp3c1_31370V3.1.p, Pp3c1_5080V3.1.p, Pp3c27_6070V3.1.p, Pp3c7_18430V3.1.p	PILA_E1/hiseq/c40847_g1_i3|m.30221, PILA_P/miseq/c22646_g1_i3|m.17068, PILA_S_2kb/017784|m.684500, PILA_V_1kb/010996|m.878759	Potri.002G003400.1.p, Potri.005G257500.1.p, Potri.006G113200.4.p, Potri.016G142800.1.p	Sacu_v1.1_s0002.g001280, Sacu_v1.1_s0041.g012468	EFJ_110637, EFJ_230893	SEGI_08373, SEGI_15142, SEGI_17069, SEGI_21575, SEGI_39140	SM000023S07663, SM000034S12720, SM000154S01392	VIT_08s0056g00210.t01, VIT_18s0122g00550.t01	Vocar20013545m	Zm00001eb035350_P002, Zm00001eb163790_P002, Zm00001eb389390_P001
OG0001580	AagrBONN_344.4850.1	AmTr_v1.0_scaffold00978.1	AT1G20930.1, AT1G76540.1, AT2G38620.2, AT3G54180.1	Azfi_s0066.g036081, Azfi_s0242.g059787	Cericv21025789m, Cericv21038951m, Cericv21058205m, Cericv21082577m	GBG60961	TnS000275251t01, TnS000774057t08, TnS000781647t04	Klenit1_10588	PTQ35151	ME000197S02542	Os01t0897000_01, Os08t0512600_01	Pp3c11_10380V3.1.p, Pp3c14_12680V3.1.p, Pp3c16_3910V3.1.p, Pp3c1_31370V3.1.p, Pp3c1_5080V3.1.p, Pp3c27_6070V3.1.p, Pp3c7_18430V3.1.p	PILA_E1/hiseq/c40847_g1_i3|m.30221, PILA_P/miseq/c22646_g1_i3|m.17068, PILA_S_2kb/017784|m.684500, PILA_V_1kb/010996|m.878759	Potri.002G003400.1.p, Potri.005G257500.1.p, Potri.006G113200.4.p, Potri.016G142800.1.p	Sacu_v1.1_s0002.g001280, Sacu_v1.1_s0041.g012468	EFJ_110637, EFJ_230893	SEGI_08373, SEGI_15142, SEGI_17069, SEGI_21575, SEGI_39140	SM000023S07663, SM000034S12720, SM000154S01392	VIT_08s0056g00210.t01, VIT_18s0122g00550.t01	Vocar20013545m	Zm00001eb035350_P002, Zm00001eb163790_P002, Zm00001eb389390_P001
OG0001580	AagrBONN_344.4850.1	AmTr_v1.0_scaffold00978.1	AT1G20930.1, AT1G76540.1, AT2G38620.2, AT3G54180.1	Azfi_s0066.g036081, Azfi_s0242.g059787	Cericv21025789m, Cericv21038951m, Cericv21058205m, Cericv21082577m	GBG60961	TnS000275251t01, TnS000774057t08, TnS000781647t04	Klenit1_10588	PTQ35151	ME000197S02542	Os01t0897000_01, Os08t0512600_01	Pp3c11_10380V3.1.p, Pp3c14_12680V3.1.p, Pp3c16_3910V3.1.p, Pp3c1_31370V3.1.p, Pp3c1_5080V3.1.p, Pp3c27_6070V3.1.p, Pp3c7_18430V3.1.p	PILA_E1/hiseq/c40847_g1_i3|m.30221, PILA_P/miseq/c22646_g1_i3|m.17068, PILA_S_2kb/017784|m.684500, PILA_V_1kb/010996|m.878759	Potri.002G003400.1.p, Potri.005G257500.1.p, Potri.006G113200.4.p, Potri.016G142800.1.p	Sacu_v1.1_s0002.g001280, Sacu_v1.1_s0041.g012468	EFJ_110637, EFJ_230893	SEGI_08373, SEGI_15142, SEGI_17069, SEGI_21575, SEGI_39140	SM000023S07663, SM000034S12720, SM000154S01392	VIT_08s0056g00210.t01, VIT_18s0122g00550.t01	Vocar20013545m	Zm00001eb035350_P002, Zm00001eb163790_P002, Zm00001eb389390_P001
OG0001580	AagrBONN_344.4850.1	AmTr_v1.0_scaffold00978.1	AT1G20930.1, AT1G76540.1, AT2G38620.2, AT3G54180.1	Azfi_s0066.g036081, Azfi_s0242.g059787	Cericv21025789m, Cericv21038951m, Cericv21058205m, Cericv21082577m	GBG60961	TnS000275251t01, TnS000774057t08, TnS000781647t04	Klenit1_10588	PTQ35151	ME000197S02542	Os01t0897000_01, Os08t0512600_01	Pp3c11_10380V3.1.p, Pp3c14_12680V3.1.p, Pp3c16_3910V3.1.p, Pp3c1_31370V3.1.p, Pp3c1_5080V3.1.p, Pp3c27_6070V3.1.p, Pp3c7_18430V3.1.p	PILA_E1/hiseq/c40847_g1_i3|m.30221, PILA_P/miseq/c22646_g1_i3|m.17068, PILA_S_2kb/017784|m.684500, PILA_V_1kb/010996|m.878759	Potri.002G003400.1.p, Potri.005G257500.1.p, Potri.006G113200.4.p, Potri.016G142800.1.p	Sacu_v1.1_s0002.g001280, Sacu_v1.1_s0041.g012468	EFJ_110637, EFJ_230893	SEGI_08373, SEGI_15142, SEGI_17069, SEGI_21575, SEGI_39140	SM000023S07663, SM000034S12720, SM000154S01392	VIT_08s0056g00210.t01, VIT_18s0122g00550.t01	Vocar20013545m	Zm00001eb035350_P002, Zm00001eb163790_P002, Zm00001eb389390_P001
OG0002668	AagrBONN_368.1188.1, AagrBONN_368.1192.1	AmTr_v1.0_scaffold00032.39	AT5G10270.1, AT5G64960.1	Azfi_s0004.g008690, Azfi_s0007.g010688	Cericv21025877m, Cericv21110195m	GBG74215, GBG89574	TnS000275877t01	Klenit1_8545	PTQ30448, PTQ43091	ME000035S06176	Os01t0958000_01, Os05t0389700_01	Pp3c18_12930V3.1.p, Pp3c21_11030V3.1.p, Pp3c22_9780V3.1.p	PILA_SDN/miseq/c13303_g1_i1|m.8996, PILA_Wound/hiseq/c48471_g1_i1|m.12949	Potri.006G024600.1.p, Potri.012G003700.3.p	Sacu_v1.1_s0003.g001538, Sacu_v1.1_s0019.g007707	EFJ_230275	SEGI_20217, SEGI_20509	SM000016S01871, SM000101S09277, SM000175S03292	VIT_06s0009g01800.t01, VIT_07s0141g00280.t01	Vocar20004488m	Zm00001eb055820_P002, Zm00001eb103870_P001, Zm00001eb215750_P001, Zm00001eb367750_P001
OG0002668	AagrBONN_368.1188.1, AagrBONN_368.1192.1	AmTr_v1.0_scaffold00032.39	AT5G10270.1, AT5G64960.1	Azfi_s0004.g008690, Azfi_s0007.g010688	Cericv21025877m, Cericv21110195m	GBG74215, GBG89574	TnS000275877t01	Klenit1_8545	PTQ30448, PTQ43091	ME000035S06176	Os01t0958000_01, Os05t0389700_01	Pp3c18_12930V3.1.p, Pp3c21_11030V3.1.p, Pp3c22_9780V3.1.p	PILA_SDN/miseq/c13303_g1_i1|m.8996, PILA_Wound/hiseq/c48471_g1_i1|m.12949	Potri.006G024600.1.p, Potri.012G003700.3.p	Sacu_v1.1_s0003.g001538, Sacu_v1.1_s0019.g007707	EFJ_230275	SEGI_20217, SEGI_20509	SM000016S01871, SM000101S09277, SM000175S03292	VIT_06s0009g01800.t01, VIT_07s0141g00280.t01	Vocar20004488m	Zm00001eb055820_P002, Zm00001eb103870_P001, Zm00001eb215750_P001, Zm00001eb367750_P001
OG0003284	AagrBONN_228.1705.1	AmTr_v1.0_scaffold00057.19	AT1G18040.1, AT1G66750.1, AT1G73690.1	Azfi_s0097.g043851, Azfi_s3744.g116732	Cericv21043879m	GBG67532, GBG83995	TnS001008727t08	Klenit1_6641	PTQ36543	ME000766S09571	Os05t0392300_01	Pp3c14_5110V3.1.p, Pp3c1_19220V3.1.p, Pp3c2_15020V3.1.p	PILA_BRS/miseq/c17264_g1_i1|m.15786, PILA_DCR/hiseq/c93652_g1_i1|m.67057	Potri.012G052100.1.p, Potri.014G079100.2.p	Sacu_v1.1_s0072.g016962	EFJ_100958	SEGI_05841	SM000002S05785, SM000064S19801, SM000141S00848, SM005096S17859	VIT_14s0006g02280.t01, VIT_17s0000g02960.t01	Vocar20003575m	Zm00001eb208520_P001, Zm00001eb287310_P002, Zm00001eb350890_P003
OG0003284	AagrBONN_228.1705.1	AmTr_v1.0_scaffold00057.19	AT1G18040.1, AT1G66750.1, AT1G73690.1	Azfi_s0097.g043851, Azfi_s3744.g116732	Cericv21043879m	GBG67532, GBG83995	TnS001008727t08	Klenit1_6641	PTQ36543	ME000766S09571	Os05t0392300_01	Pp3c14_5110V3.1.p, Pp3c1_19220V3.1.p, Pp3c2_15020V3.1.p	PILA_BRS/miseq/c17264_g1_i1|m.15786, PILA_DCR/hiseq/c93652_g1_i1|m.67057	Potri.012G052100.1.p, Potri.014G079100.2.p	Sacu_v1.1_s0072.g016962	EFJ_100958	SEGI_05841	SM000002S05785, SM000064S19801, SM000141S00848, SM005096S17859	VIT_14s0006g02280.t01, VIT_17s0000g02960.t01	Vocar20003575m	Zm00001eb208520_P001, Zm00001eb287310_P002, Zm00001eb350890_P003
OG0003284	AagrBONN_228.1705.1	AmTr_v1.0_scaffold00057.19	AT1G18040.1, AT1G66750.1, AT1G73690.1	Azfi_s0097.g043851, Azfi_s3744.g116732	Cericv21043879m	GBG67532, GBG83995	TnS001008727t08	Klenit1_6641	PTQ36543	ME000766S09571	Os05t0392300_01	Pp3c14_5110V3.1.p, Pp3c1_19220V3.1.p, Pp3c2_15020V3.1.p	PILA_BRS/miseq/c17264_g1_i1|m.15786, PILA_DCR/hiseq/c93652_g1_i1|m.67057	Potri.012G052100.1.p, Potri.014G079100.2.p	Sacu_v1.1_s0072.g016962	EFJ_100958	SEGI_05841	SM000002S05785, SM000064S19801, SM000141S00848, SM005096S17859	VIT_14s0006g02280.t01, VIT_17s0000g02960.t01	Vocar20003575m	Zm00001eb208520_P001, Zm00001eb287310_P002, Zm00001eb350890_P003
OG0005797	AagrBONN_344.250.1	AmTr_v1.0_scaffold00002.33	AT5G63610.1		Cericv21116473m	GBG93426	TnS000638207t01	Klenit1_4892	PTQ30143	ME000334S05887	Os10t0580300_01	Pp3c19_12350V3.1.p, Pp3c22_16110V3.1.p	PILA_JASS/hiseq/c62791_g1_i1|m.64076, PILA_M_S1/c542_g1_i1|m.112900	Potri.001G088000.2.p, Potri.003G142900.2.p	Sacu_v1.1_s0162.g023984	EFJ_233278	SEGI_03188, SEGI_07364	SM000001S04771, SM000044S15972, SM000085S23297	VIT_07s0031g02680.t01	Vocar20002074m	Zm00001eb225020_P002
