FamilyID	Populus_trichocarpa<0>	Arabidopsis_thaliana<1>	<2>	Vitis_vinifera<3>	Oryza_sativa<4>	Zea_may<5>	Sequoiadendron_giganteum<6>	Pinus_lambertiana<7>	<8>	<9>	Salvinia_cucullata<10>	Azolla_filiculoides<11>	<12>	Gnetum_montanum<13>	<14>	Amborella_trichopoda<15>	<16>	Ceratopteris_richardii<17>	<18>	<19>	Klebsormidium_flaccidum<20>	Volvox_carteri<21>	<22>	<23>	Spirogloea_muscicola<24>	Mesotaenium_endlicherianum<25>	<26>	Chara_braunii<27>	<28>	Selaginella_moellendorffii<29>	<30>	<31>	<32>	<33>	<34>	Anthoceros_angustus<35>	Physcomitrella_patens<36>	<37>	Marchantia_polymorpha<38>	<39>
OG1G02740	3	3	2	2	3	1	0	1	2	2	1	3	2	4	2	1	2	2	2	2	1	1	2	2	3	1	2	2	2	3	2	2	2	2	2	2	2	2	1	2
OG1G03750	1	2	1	1	1	1	2	3	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG1G04050	4	4	3	2	1	4	2	3	3	3	2	3	3	3	3	5	2	2	3	3	3	0	2	3	0	0	1	1	2	1	1	1	2	1	2	1	2	2	2	2
OG1G04400	4	3	3	2	3	4	3	2	2	3	4	3	2	2	2	2	3	6	2	2	1	1	3	2	3	1	2	2	2	3	2	2	2	2	2	2	2	2	1	2
OG1G05490	8	8	6	6	9	5	3	7	6	7	3	3	5	6	6	5	3	4	5	6	3	0	3	5	0	0	2	2	4	2	1	2	4	2	4	8	3	4	5	4
OG1G08880	10	10	9	9	8	13	13	12	9	10	7	9	10	7	9	7	9	29	9	9	2	13	11	9	7	3	5	3	8	5	5	5	7	5	7	5	9	7	5	7
OG1G09320	5	4	4	3	1	2	8	10	4	2	0	0	7	8	4	7	0	1	7	5	1	0	1	5	1	1	1	0	2	1	1	1	2	1	2	1	2	2	2	2
OG1G17730	3	3	2	1	1	1	2	1	2	1	4	1	2	2	2	2	2	3	2	2	1	1	2	2	3	1	2	1	2	2	2	2	2	2	2	1	4	2	2	2
OG1G18450	2	3	2	2	1	1	1	2	2	1	0	2	1	1	2	2	1	1	1	2	1	1	1	1	3	1	1	3	1	1	1	1	1	1	1	1	2	1	1	1
OG1G18800	4	3	3	2	2	2	3	5	2	2	1	2	2	2	2	2	2	3	2	2	1	1	2	2	3	1	2	1	2	1	2	2	2	2	2	1	2	2	1	2
OG1G19100	6	8	6	6	4	7	5	6	6	5	2	3	4	2	5	3	3	9	4	4	1	0	4	4	0	1	1	3	4	6	1	1	4	1	3	1	8	3	1	3
