Orthogroup	agresttis	amborella	aratha	azolla	ceratopteris	chara	gnetum	klebsormidium	marchantia	mesotaenium	oryza	physcomitrella	plambertiana	populus	salvinia	selaginella	sequoia	spirogloea	vitis	volvox	zmays
OG0033870	AagrBONN_10.5.1																				
OG0033871	AagrBONN_102.1.1																				
OG0033872	AagrBONN_114.35.1																				
OG0033873	AagrBONN_114.37.1																				
OG0033874	AagrBONN_114.19.1																				
OG0033875	AagrBONN_114.32.1																				
OG0033876	AagrBONN_117.690.1																				
OG0033877	AagrBONN_117.3448.1																				
OG0033878	AagrBONN_117.1393.1																				
OG0033879	AagrBONN_117.4025.1																				
OG0033880	AagrBONN_117.3101.1																				
OG0033881	AagrBONN_117.174.1																				
OG0033882	AagrBONN_117.804.1																				
OG0033883	AagrBONN_117.1232.1																				
OG0033884	AagrBONN_117.714.1																				
OG0033885	AagrBONN_117.1315.1																				
OG0033886	AagrBONN_117.4119.1																				
OG0033887	AagrBONN_117.1452.1																				
OG0033888	AagrBONN_117.971.1																				
OG0033889	AagrBONN_117.3394.1																				
OG0033890	AagrBONN_117.2111.1																				
OG0033891	AagrBONN_117.2254.1																				
OG0033892	AagrBONN_117.2190.1																				
OG0033893	AagrBONN_117.1554.1																				
OG0033894	AagrBONN_117.614.1																				
OG0033895	AagrBONN_117.1968.1																				
OG0033896	AagrBONN_117.2652.1																				
OG0033897	AagrBONN_117.1140.2																				
OG0033898	AagrBONN_117.2923.1																				
OG0033899	AagrBONN_117.3550.1																				
OG0033900	AagrBONN_117.443.1																				
OG0033901	AagrBONN_117.996.1																				
OG0033902	AagrBONN_117.3590.1																				
OG0033903	AagrBONN_117.2370.1																				
OG0033904	AagrBONN_117.3135.1																				
OG0033905	AagrBONN_117.1252.3																				
OG0033906	AagrBONN_117.1162.1																				
OG0033907	AagrBONN_117.3831.1																				
OG0033908	AagrBONN_117.3696.1																				
OG0033909	AagrBONN_117.3154.1																				
OG0033910	AagrBONN_117.337.1																				
OG0033911	AagrBONN_117.3809.1																				
OG0033912	AagrBONN_117.2041.1																				
OG0033913	AagrBONN_117.1166.1																				
OG0033914	AagrBONN_117.4027.1																				
OG0033915	AagrBONN_117.1337.1																				
OG0033916	AagrBONN_117.3109.1																				
OG0033917	AagrBONN_117.3000.1																				
OG0033918	AagrBONN_117.879.1																				
OG0033919	AagrBONN_117.2680.1																				
OG0033920	AagrBONN_117.1007.1																				
OG0033921	AagrBONN_117.1553.1																				
OG0033922	AagrBONN_117.2657.1																				
OG0033923	AagrBONN_117.1399.1																				
OG0033924	AagrBONN_117.606.1																				
OG0033925	AagrBONN_117.2404.1																				
OG0033926	AagrBONN_117.263.1																				
OG0033927	AagrBONN_117.1682.1																				
OG0033928	AagrBONN_117.3298.1																				
OG0033929	AagrBONN_117.2825.1																				
OG0033930	AagrBONN_117.2320.1																				
OG0033931	AagrBONN_117.1536.1																				
OG0033932	AagrBONN_117.3632.1																				
OG0033933	AagrBONN_117.3724.1																				
OG0033934	AagrBONN_117.2328.1																				
OG0033935	AagrBONN_117.3004.1																				
OG0033936	AagrBONN_117.2239.1																				
OG0033937	AagrBONN_117.3086.1																				
OG0033938	AagrBONN_117.3455.1																				
OG0033939	AagrBONN_117.1820.1																				
OG0033940	AagrBONN_117.471.1																				
OG0033941	AagrBONN_117.2279.1																				
OG0033942	AagrBONN_117.320.1																				
