Orthogroup	AT	AagrBONN	AmTr	Azfi	Cericv	EFJ	GBG	Klenit	ME	Os	PILA	PTQ	Potri	Pp	SEGI	SM	Sacu	TnS	VIT	Vocar	Zm
OG0000274	10.0	0.0	8.0	7.0	12.0	3.0	0.0	2.0	0.0	13.0	10.0	1.0	24.0	2.0	4.0	0.0	10.0	7.0	16.0	1.0	22.0
OG0000571	11.0	1.0	2.0	8.0	6.0	1.0	3.0	1.0	2.0	8.0	12.0	2.0	8.0	2.0	6.0	3.0	4.0	4.0	5.0	1.0	10.0
OG0000640	11.0	1.0	2.0	5.0	4.0	4.0	2.0	1.0	2.0	7.0	3.0	1.0	9.0	10.0	3.0	3.0	5.0	2.0	6.0	1.0	11.0
OG0001464	3.0	1.0	2.0	3.0	3.0	2.0	1.0	1.0	1.0	4.0	4.0	1.0	5.0	3.0	5.0	3.0	4.0	1.0	3.0	1.0	5.0
OG0001580	4.0	1.0	1.0	2.0	4.0	2.0	1.0	1.0	1.0	2.0	4.0	1.0	4.0	7.0	5.0	3.0	2.0	3.0	2.0	1.0	3.0
OG0001665	7.0	2.0	3.0	4.0	4.0	3.0	0.0	1.0	0.0	3.0	4.0	0.0	5.0	0.0	1.0	0.0	3.0	1.0	4.0	0.0	7.0
OG0001936	2.0	1.0	2.0	3.0	2.0	1.0	1.0	1.0	1.0	3.0	5.0	2.0	2.0	3.0	5.0	3.0	1.0	2.0	3.0	1.0	4.0
OG0002104	1.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	2.0	6.0	1.0	1.0	5.0	3.0	3.0	2.0	1.0	2.0	3.0	5.0
OG0002287	2.0	0.0	2.0	3.0	4.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	3.0	7.0	2.0	2.0	1.0	1.0	4.0
OG0002657	1.0	1.0	1.0	1.0	1.0	16.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0
OG0002668	2.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	3.0	2.0	3.0	2.0	1.0	2.0	1.0	4.0
OG0002809	3.0	0.0	1.0	1.0	2.0	1.0	1.0	1.0	0.0	2.0	3.0	1.0	2.0	3.0	1.0	3.0	2.0	1.0	2.0	0.0	9.0
OG0003284	3.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	2.0	3.0	1.0	4.0	1.0	1.0	2.0	1.0	3.0
OG0004673	1.0		2.0	0.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	2.0	1.0	3.0	2.0	1.0	1.0	1.0	2.0
OG0005472	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	2.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0
OG0005797	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	2.0	2.0	3.0	1.0	1.0	1.0	1.0	1.0
OG0007661	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	2.0	1.0
OG0016777	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
